#1_tweetid	#2_tweet	#3_country_label	#4_province_label
TRAIN_0	زيدان كان مؤثر اكثر	Iraq	iq_Ninawa
TRAIN_1	اريد تحطيم الرقم القياسي في الضحك ... ;) !	Algeria	dz_Biskra
TRAIN_2	كل لحظاتي في 2014 جميلة #اجمل_لحظه_عندك	Bahrain	bh_Capital
TRAIN_3	عن دقة ملاحظتك ماشاءالله	Somalia	so_Banaadir
TRAIN_4	The Conjuring 2.. Mbc2 جاهزون يا أبطال.!	Egypt	eg_Faiyum
TRAIN_5	لا حول ولا قوة الا بالله لا حول ولا قوة الا بالله لا حول ولا قوة الا بالله لا حول ولا قوة الا بالله لا حول ولا قوة الا بالله	Egypt	eg_Red-Sea
TRAIN_6	"""#الجيش_الوطني_السوري #الفيلق_الثاني تسيطر على قرية الحانة \""زاتن\"" غرب عفرين بعد معارك مع ميليشيا PYD الارهابي ضمن عملية #غصن_الزيتون URL """	Syria	sy_Aleppo
TRAIN_7	صباح الخير لكل عصفور يعزف لحن الوجود في هذا الكون	Tunisia	tn_Ariana
TRAIN_8	أحبك من صبِاح الخير..ليّن الخير يصبح بَك .	Saudi_Arabia	sa_Asir
TRAIN_9	كلام جميل وصحيح	Saudi_Arabia	sa_Najran
TRAIN_10	كي لا ننسى  URL 	Iraq	iq_Karbala
TRAIN_11	ربنا لا تحملنا ما لا طاقة لنا به	Morocco	ma_Tanger-Tetouan
TRAIN_12	اتذكر من علمناج	Iraq	iq_Babil
TRAIN_13	التعميم لايزيد الامر الا فرقه وكراهية...هناك من هم مع الجيش....وللاسف الخونه فى كل مكان	Libya	ly_Benghazi
TRAIN_14	- مُبهجة جداً تلك العبارة , وعسى دعوة طال إنتظارها , يُفاجئك الله بتحقيقها -	Algeria	dz_Biskra
TRAIN_15	الى متى ستبقى مدينة #الموصل مان اسوأ المدن للعيش في قارة اسيا اين انتم ايها المسؤولين في محافظة #نينوى	Iraq	iq_Ninawa
TRAIN_16	"""ترقبوا ..... ترقبوا قريبا\"" (( نستلتي )) للأديب الكبير……......جﻻل الصغير نستلتي نستلتي فيها...  URL """	Iraq	iq_Kirkuk
TRAIN_17	عندما أفتح ألبوم الصور أجد نفسي سارحاً في عالم الذكريات الجميله والحنين اليها فتجتمع الدمعه مع البسمه والإحساس بالكبر وسرعة السنين .........	Oman	om_Ash-Sharqiyah
TRAIN_18	محادثات تحمل طياتها نبعا وفيضا غزيرا مما لايمكن قوله .. فقط مشاعر تتأهب للوقت المناسب للصدع بها .. ساعات تمر دون التفات او انتباه .. عله خير	Egypt	eg_Gharbia
TRAIN_19	صباح الخير .. أتمنى أن يصادفكم اليوم خبر سعيد يُعيد لأرواحكم الحياه..	Kuwait	kw_Jahra
TRAIN_20	 USER  السحيجة انتقلوا من مرحلة الهواية إلى الاحتراف	Jordan	jo_Zarqa
TRAIN_21	راحة البال بالدنيا	Egypt	eg_North-Sinai
TRAIN_22	لا ينبغي صرف الود لغير اهله...فالبعض يفهم التواضع ذلا ..	Libya	ly_Al-Butnan
TRAIN_23	فعاليه اkساس	Syria	sy_As-Suwayda
TRAIN_24	أربعة وعود ربانية قال الله تعالى : ١. ﴿ لئِن شكرتُم لأزيدنّكُم ﴾ ٢. ﴿ فاذكروني أذكُرُكُم ﴾ ٣. ﴿ ادعوني أستجب لكُم ﴾ ٤. ﴿ وماكان اللهُ معذبهُم وهم يستغفرون ﴾ كن مع الله يكون معك..اللهم إجعلني وأحبتي ممن شكر، وذكر، ودعا، وأستغفر . #حقيقه	Kuwait	kw_Hawalli
TRAIN_25	(( في هذه الساعة الخطيرة التي تتأرجح فيها حياة رجل ، يجب أن يتلاشى من هذا المكان ( قاعة المحكمة العسكرية ) كل ميل...  URL 	Syria	sy_Damascus-City
TRAIN_26	 USER  عضويتي الاصلية Madridista King تم قفلها لاسباب غير معلومة الان استعمل البديلة MaDriDiStA Iraq انا عاصرت الصحيفة قبل رئاسة مؤنس	Iraq	iq_Ninawa
TRAIN_27	حتى انت يا احلام #MBCTheVoice	Iraq	iq_As-Sulaymaniyah
TRAIN_28	النائب الأول لرئيس الجمعية الوطنية اجرى مباحثات مع وفد من مجلس الشورى السعودي   URL / …	Mauritania	mr_Nouakchott
TRAIN_29	شعب حااااقد حااااقد	Sudan	sd_Khartoum
